"","id","title","description","publishTime","kind_stats","duration_seconds","viewCount","likeCount","commentCount","pull_date"
"1","uyiG6uw-6pA","Would You Risk Drowning for $500,000?","These were crazy dangerous so everything was performed under professional supervision Jack Link's Jerky can fuel anything.",2025-04-26 16:00:00,"youtube#video",1546,45397419,1516182,24837,"2025-04-28 00:03:09.151500+00:00"
"2","M1STzb7k9L8","Extreme Helmet Game","",2025-04-25 16:15:00,"youtube#video",23,61404005,910075,3034,"2025-04-28 00:03:09.151500+00:00"
"3","7K-yxGWYsnk","$10,000 Human Shuffleboard","",2025-04-22 16:30:14,"youtube#video",40,119932405,2067999,3025,"2025-04-27 00:02:44.651322+00:00"
"4","Tbn4cYCaZCk","Drift This Car, Win $10,000","",2025-04-16 17:00:15,"youtube#video",20,240053679,3868988,7137,"2025-04-28 00:03:09.151500+00:00"
"5","","Philanthropy","",2025-04-15 21:09:25,"",0,NA,NA,NA,"2025-04-18 00:06:03.806800+00:00"
"6","figrl0aOULs","Watch This Video To Feed 1 Person In Need","Buying 1 Hoodie = 100 Meals for people in need! Go get it now: https://www.doordash.com/p/dashmart-near-me Thank you ...",2025-04-12 16:00:01,"youtube#video",629,49564829,3510587,66385,"2025-04-28 00:03:09.151500+00:00"
"7","Uxc84UUrVHk","You Can Stop Child Labor","",2025-04-11 16:00:01,"youtube#video",58,55016142,2458485,14887,"2025-04-28 00:03:09.151500+00:00"
"8","BzKaMelDzqo","How Fast Can I Go?","New Merch - https://mrbeast.store Check out Viewstats! - https://www.viewstats.com/ SUBSCRIBE OR I TAKE YOUR DOG ...",2025-04-05 16:00:12,"youtube#video",18,113508949,2103676,7122,"2025-04-27 00:02:44.651322+00:00"
"9","4yx9ZJDfyKk","Baseball Tic Tac Toe vs MLB Pro","I wish I was as good as AaronJudge BUT if you're a @TMobile member and wanna watch him crush it all regular season long ...",2025-03-27 16:00:00,"youtube#video",27,43568467,1233960,7296,"2025-04-28 00:03:09.151500+00:00"
"10","kPa_S6jN9ls","Could You Win This Obstacle Course?","ad.",2025-03-25 16:15:01,"youtube#video",34,61841347,1310859,9953,"2025-04-28 00:03:09.151500+00:00"
"11","69g-YcbmgQA","Find Your Dog, Win $10,000","",2025-03-23 16:00:01,"youtube#video",36,235807773,8320433,7797,"2025-04-28 00:03:09.151500+00:00"
"12","aKq8bkY5eTU","I Survived The 5 Deadliest Places On Earth","It's crazy we actually did this Our new Feastables Peanut Butter Cups roll out over the next two weeks into every Target, Walmart, ...",2025-03-22 16:00:00,"youtube#video",803,104191132,2672603,52030,"2025-04-28 00:03:09.151500+00:00"
"13","TNtpUQbW4mg","This Is How The Pyramids Were Built","",2025-03-18 16:00:00,"youtube#video",13,144869912,5307726,13848,"2025-04-28 00:03:09.151500+00:00"
